DOGOWA,KANO,KAN,+1,FD,Kano Hub
DOKA VILLAGE,KADUNA,KAD,0,FC,Kaduna Hub
DOKO,NIGER,MNA,+1,FE,Minna Hub
DOLE KAINA,KEBBI,BKK,+2,FF,
DOMA,NASARAWA,LAF,0,FB,Abuja Hub
DONGA,TARABA,JAL,+2,FZ8,
DOPEMU,LAGOS,LOS,0,DIRECT,Lagos Hub
DUCHI,PLATEAU,JOS,+1,FD,Jos Hub
DUDUGURU,NASARAWA,LAF,0,FB,Abuja Hub
DUGBE,OYO,IBA,0,DIRECT,Ibadan Hub
DUKKU,GOMBE,GOM,+2,FH,Gombe Hub
DUTSE,JIGAWA,DUT,0,DIRECT,Kano Hub
DUTSEN KURA,NIGER,MNA,0,FA,Minna Hub
DUTSEN SAFE,KATSINA,KAS,+1,FB,Kano Hub
DUTSI,KATSINA,KAS,+1,FE,Kano Hub
DUTSIMA,KATSINA,KAS,+1,FE,Kano Hub
EASTERN OBOLO,AKWA IBOM,UYO,+2,FE,Uyo Hub
EBELLE,EDO,BNI,+2,FE,Benin Hub
EBENATO,IMO,ORI,+1,FC,Owerri Hub
EBU,DELTA,WRI,+2,FE,Warri Hub
EBUTE,LAGOS,LOS,+1,FB,Lagos Hub
EBUTE METTA,LAGOS,LOS,0,DIRECT,Lagos Hub
EDATI,NIGER,MNA,+2,FI,Minna Hub
EDE,OSUN,OSG,0,FC,Osogbo Hub
EDE GEDE AKOKO,ONDO,AKR,+3,FE,Akure Hub
EDIDI,KWARA,ILR,+1,FD,Ilorin Hub
EDIENE ABAK,AKWA IBOM,UYO,+1,FC,Uyo Hub
EDUNABON,OSUN,OSG,+1,FC,Osogbo Hub
EFFON-AMURO,KWARA,ILR,+2,FI,Ilorin Hub
EFFURUN,DELTA,WRI,0,DIRECT,Warri Hub
EFON ALAYE,ONDO,AKR,+3,FE,Akure Hub
EGBA,EDO,BNI,+2,FD,Benin Hub
EGBE,KOGI,LKJ,+2,FZ3,
EGBE,KWARA,ILR,+2,FZ2,Ilorin Hub
EGBE,LAGOS,LOS,0,DIRECT,Lagos Hub
EGBEADA,IMO,ORI,0,FA,Owerri Hub
EGBEDA,LAGOS,LOS,0,DIRECT,Lagos Hub
EGBEDA,OYO,IBA,+1,FB,Ibadan Hub
EGBEMA,IMO,ORI,+2,FC,Owerri Hub
EGBE-OGUME,DELTA,WRI,+2,FH,Warri Hub
EGBIN,LAGOS,LOS,+1,FD,Lagos Hub
EGBU,IMO,ORI,0,FA,Owerri Hub
EGEDE,ENUGU,ENU,+1,FE,Enugu Hub
EGUME,KOGI,LKJ,+3,FH,
EHA AMUFU,ENUGU,ENU,+1,FH,Enugu Hub
EHIME MBANO,IMO,ORI,+1,FC,Owerri Hub
EHOR,EDO,BNI,+1,FD,Benin Hub
EJIGBO,LAGOS,LOS,0,DIRECT,Lagos Hub
EJIGBO,OSUN,OSG,+1,FE,Osogbo Hub
EJIOKU,OYO,IBA,+1,FD,Ibadan Hub
EJIRIN,LAGOS,LAS,+1,FZ2,Lagos Hub
EKAKPAMRE,DELTA,WRI,+1,FD,Warri Hub
EKE,ENUGU,ENU,0,FD,Enugu Hub
EKE AKPARA,ABIA,ABA,0,FA,Aba Hub
EKE ARO,ABIA,ABA,0,FA,Aba Hub
EKENWA,EDO,BNI,+1,FD,Benin Hub
EKEOBA,ABIA,ABA,+1,FB,Aba Hub
EKEREMO,BAYELSA,YEN,+2,FT,PH Hub
EKIADOLOR,EDO,BNI,+1,FD,Benin Hub
EKINRIN-ADE,,LKJ,+3,FE,
EKPAN,DELTA,WRI,0,DIRECT,Warri Hub
EKPARAKWA,AKWA IBOM,UYO,+1,FD,Uyo Hub
EKPOMA,EDO,BNI,+1,FD,Benin Hub
EKU,DELTA,WRI,+1,FC,Warri Hub
EKWULOBIA,ANAMBRA,ONA,+1,FD,Onitsha Hub
EKWULUMMIRI,ANAMBRA,ONA,+1,FC,Onitsha Hub
